# Species	Genes	Alg.-Conn.	CBS432	DBVPG6044	DBVPG6765	N44	S288c	SK1	Sac_bayanus_var_uvarum_CBS7001.Scannell_2011	Sac_eubayanus_FM1318.Baker_2015	Sac_kudriavzevii_IFO1802T.Scannell_2011	Sac_kudriavzevii_ZP591.Scannell_2011	Sac_mikatae_IFO1815T.Scannell_2011	Sac_arboricolus_H6.Liti_2013	UFRJ50816	UWOPS034614	UWOPS919171	Y12	YPS128	YPS138
18	18	1	CBS432_01G00230	DBVPG6044_01G00230	DBVPG6765_01G00240	N44_01G00240	S288c_01G00250	SK1_01G00260	Sbay_1.24	Seub_DI49_0020.t01	Skud_1.19	Port_1.20	Smik_1.22	Sarb_01G00190	UFRJ50816_01G00230	UWOPS034614_01G00230	UWOPS919171_01G00230	Y12_01G00210	YPS128_01G00230	YPS138_01G00240
18	18	1	CBS432_01G00240	DBVPG6044_01G00240	DBVPG6765_01G00250	N44_01G00250	S288c_01G00260	SK1_01G00270	Sbay_1.25	Seub_DI49_0021.t01	Skud_1.20	Port_1.21	Smik_1.23	Sarb_01G00200	UFRJ50816_01G00240	UWOPS034614_01G00240	UWOPS919171_01G00240	Y12_01G00220	YPS128_01G00240	YPS138_01G00250
18	18	1	CBS432_01G00260	DBVPG6044_01G00260	DBVPG6765_01G00270	N44_01G00270	S288c_01G00280	SK1_01G00290	Sbay_1.27	Seub_DI49_0023.t01	Skud_1.22	Port_1.25	Smik_1.25	Sarb_01G00210	UFRJ50816_01G00260	UWOPS034614_01G00260	UWOPS919171_01G00260	Y12_01G00240	YPS128_01G00260	YPS138_01G00270
18	18	1	CBS432_01G00280	DBVPG6044_01G00280	DBVPG6765_01G00290	N44_01G00290	S288c_01G00300	SK1_01G00310	Sbay_1.29	Seub_DI49_0025.t01	Skud_1.24	Port_1.27	Smik_1.28	Sarb_01G00220	UFRJ50816_01G00280	UWOPS034614_01G00280	UWOPS919171_01G00290	Y12_01G00260	YPS128_01G00280	YPS138_01G00290
18	18	1	CBS432_01G00290	DBVPG6044_01G00290	DBVPG6765_01G00300	N44_01G00300	S288c_01G00310	SK1_01G00320	Sbay_1.30	Seub_DI49_0026.t01	Skud_1.25	Port_1.28	Smik_1.29	Sarb_01G00230	UFRJ50816_01G00290	UWOPS034614_01G00290	UWOPS919171_01G00300	Y12_01G00270	YPS128_01G00290	YPS138_01G00300
18	18	1	CBS432_01G00300	DBVPG6044_01G00300	DBVPG6765_01G00310	N44_01G00310	S288c_01G00320	SK1_01G00330	Sbay_1.31	Seub_DI49_0027.t01	Skud_1.26	Port_1.29	Smik_1.31	Sarb_01G00240	UFRJ50816_01G00300	UWOPS034614_01G00300	UWOPS919171_01G00310	Y12_01G00280	YPS128_01G00300	YPS138_01G00310
18	18	1	CBS432_01G00060	DBVPG6044_01G00060	DBVPG6765_01G00070	N44_01G00070	S288c_01G00080	SK1_01G00090	Sbay_1.6	Seub_DI49_0003.t01	Skud_1.2	Port_1.3	Smik_1.5	Sarb_01G00020	UFRJ50816_01G00050	UWOPS034614_01G00060	UWOPS919171_01G00060	Y12_01G00040	YPS128_01G00060	YPS138_01G00070
18	18	1	CBS432_01G00310	DBVPG6044_01G00310	DBVPG6765_01G00320	N44_01G00320	S288c_01G00330	SK1_01G00340	Sbay_1.32	Seub_DI49_0028.t01	Skud_1.27	Port_1.30	Smik_1.32	Sarb_01G00250	UFRJ50816_01G00310	UWOPS034614_01G00310	UWOPS919171_01G00320	Y12_01G00290	YPS128_01G00310	YPS138_01G00320
18	18	1	CBS432_01G00320	DBVPG6044_01G00320	DBVPG6765_01G00330	N44_01G00330	S288c_01G00340	SK1_01G00350	Sbay_1.33	Seub_DI49_0029.t01	Skud_1.28	Port_1.32	Smik_1.33	Sarb_01G00260	UFRJ50816_01G00320	UWOPS034614_01G00320	UWOPS919171_01G00330	Y12_01G00300	YPS128_01G00320	YPS138_01G00330
18	18	1	CBS432_01G00330	DBVPG6044_01G00330	DBVPG6765_01G00340	N44_01G00340	S288c_01G00350	SK1_01G00360	Sbay_1.34	Seub_DI49_0030.t01	Skud_1.29	Port_1.33	Smik_1.34	Sarb_01G00270	UFRJ50816_01G00330	UWOPS034614_01G00330	UWOPS919171_01G00340	Y12_01G00310	YPS128_01G00330	YPS138_01G00340
18	18	1	CBS432_01G00340	DBVPG6044_01G00340	DBVPG6765_01G00350	N44_01G00350	S288c_01G00360	SK1_01G00370	Sbay_1.35	Seub_DI49_0031.t01	Skud_1.30	Port_1.34	Smik_1.35	Sarb_01G00280	UFRJ50816_01G00340	UWOPS034614_01G00340	UWOPS919171_01G00350	Y12_01G00320	YPS128_01G00340	YPS138_01G00350
18	18	1	CBS432_01G00360	DBVPG6044_01G00360	DBVPG6765_01G00370	N44_01G00370	S288c_01G00380	SK1_01G00390	Sbay_1.37	Seub_DI49_0032.t01	Skud_1.32	Port_1.36	Smik_1.37	Sarb_01G00300	UFRJ50816_01G00360	UWOPS034614_01G00360	UWOPS919171_01G00370	Y12_01G00340	YPS128_01G00360	YPS138_01G00370
18	18	1	CBS432_01G00370	DBVPG6044_01G00370	DBVPG6765_01G00380	N44_01G00380	S288c_01G00390	SK1_01G00400	Sbay_1.38	Seub_DI49_0033.t01	Skud_1.33	Port_1.37	Smik_1.38	Sarb_01G00310	UFRJ50816_01G00370	UWOPS034614_01G00370	UWOPS919171_01G00380	Y12_01G00350	YPS128_01G00370	YPS138_01G00380
18	18	1	CBS432_01G00380	DBVPG6044_01G00380	DBVPG6765_01G00390	N44_01G00390	S288c_01G00400	SK1_01G00410	Sbay_1.39	Seub_DI49_0034.t01	Skud_1.34	Port_1.38	Smik_1.39	Sarb_01G00320	UFRJ50816_01G00380	UWOPS034614_01G00380	UWOPS919171_01G00390	Y12_01G00360	YPS128_01G00380	YPS138_01G00390
18	18	1	CBS432_01G00390	DBVPG6044_01G00390	DBVPG6765_01G00400	N44_01G00400	S288c_01G00410	SK1_01G00420	Sbay_1.40	Seub_DI49_0035.t01	Skud_1.35	Port_1.39	Smik_1.40	Sarb_01G00330	UFRJ50816_01G00390	UWOPS034614_01G00390	UWOPS919171_01G00400	Y12_01G00370	YPS128_01G00390	YPS138_01G00400
18	18	1	CBS432_01G00400	DBVPG6044_01G00400	DBVPG6765_01G00410	N44_01G00410	S288c_01G00420	SK1_01G00430	Sbay_1.41	Seub_DI49_0036.t01	Skud_1.36	Port_1.40	Smik_1.41	Sarb_01G00340	UFRJ50816_01G00400	UWOPS034614_01G00400	UWOPS919171_01G00410	Y12_01G00380	YPS128_01G00400	YPS138_01G00410
18	18	1	CBS432_01G00410	DBVPG6044_01G00410	DBVPG6765_01G00420	N44_01G00420	S288c_01G00430	SK1_01G00440	Sbay_1.42	Seub_DI49_0037.t01	Skud_1.37	Port_1.42	Smik_1.42	Sarb_01G00350	UFRJ50816_01G00410	UWOPS034614_01G00410	UWOPS919171_01G00420	Y12_01G00390	YPS128_01G00410	YPS138_01G00420
18	18	1	CBS432_01G00420	DBVPG6044_01G00420	DBVPG6765_01G00430	N44_01G00430	S288c_01G00440	SK1_01G00450	Sbay_1.43	Seub_DI49_0038.t01	Skud_1.38	Port_1.43	Smik_1.43	Sarb_01G00360	UFRJ50816_01G00420	UWOPS034614_01G00420	UWOPS919171_01G00430	Y12_01G00400	YPS128_01G00420	YPS138_01G00430
18	18	1	CBS432_01G00430	DBVPG6044_01G00430	DBVPG6765_01G00440	N44_01G00440	S288c_01G00450	SK1_01G00460	Sbay_1.44	Seub_DI49_0039.t01	Skud_1.39	Port_1.44	Smik_1.44	Sarb_01G00370	UFRJ50816_01G00430	UWOPS034614_01G00430	UWOPS919171_01G00440	Y12_01G00410	YPS128_01G00430	YPS138_01G00440
18	18	1	CBS432_01G00440	DBVPG6044_01G00440	DBVPG6765_01G00450	N44_01G00450	S288c_01G00460	SK1_01G00470	Sbay_1.45	Seub_DI49_0040.t01	Skud_1.40	Port_1.45	Smik_1.45	Sarb_01G00380	UFRJ50816_01G00440	UWOPS034614_01G00440	UWOPS919171_01G00450	Y12_01G00420	YPS128_01G00440	YPS138_01G00450
18	18	1	CBS432_01G00460	DBVPG6044_01G00460	DBVPG6765_01G00470	N44_01G00470	S288c_01G00480	SK1_01G00490	Sbay_1.48	Seub_DI49_0042.t01	Skud_1.42	Port_1.47	Smik_1.48	Sarb_01G00400	UFRJ50816_01G00460	UWOPS034614_01G00460	UWOPS919171_01G00470	Y12_01G00440	YPS128_01G00460	YPS138_01G00470
18	18	1	CBS432_01G00470	DBVPG6044_01G00470	DBVPG6765_01G00480	N44_01G00480	S288c_01G00490	SK1_01G00500	Sbay_1.49	Seub_DI49_0043.t01	Skud_1.43	Port_1.48	Smik_1.49	Sarb_01G00410	UFRJ50816_01G00470	UWOPS034614_01G00470	UWOPS919171_01G00480	Y12_01G00450	YPS128_01G00470	YPS138_01G00480
18	18	1	CBS432_01G00480	DBVPG6044_01G00480	DBVPG6765_01G00490	N44_01G00490	S288c_01G00500	SK1_01G00510	Sbay_1.50	Seub_DI49_0044.t01	Skud_1.44	Port_1.49	Smik_1.50	Sarb_01G00420	UFRJ50816_01G00480	UWOPS034614_01G00480	UWOPS919171_01G00490	Y12_01G00460	YPS128_01G00480	YPS138_01G00490
18	18	1	CBS432_01G00080	DBVPG6044_01G00080	DBVPG6765_01G00090	N44_01G00090	S288c_01G00100	SK1_01G00110	Sbay_1.8	Seub_DI49_0005.t01	Skud_1.4	Port_1.5	Smik_1.7	Sarb_01G00040	UFRJ50816_01G00070	UWOPS034614_01G00080	UWOPS919171_01G00080	Y12_01G00060	YPS128_01G00080	YPS138_01G00090
18	18	1	CBS432_01G00490	DBVPG6044_01G00490	DBVPG6765_01G00500	N44_01G00500	S288c_01G00510	SK1_01G00520	Sbay_1.51	Seub_DI49_0045.t01	Skud_1.45	Port_1.50	Smik_1.51	Sarb_01G00430	UFRJ50816_01G00490	UWOPS034614_01G00490	UWOPS919171_01G00500	Y12_01G00470	YPS128_01G00490	YPS138_01G00500
18	18	1	CBS432_01G00500	DBVPG6044_01G00500	DBVPG6765_01G00510	N44_01G00510	S288c_01G00520	SK1_01G00530	Sbay_1.52	Seub_DI49_0046.t01	Skud_1.46	Port_1.51	Smik_1.52	Sarb_01G00440	UFRJ50816_01G00500	UWOPS034614_01G00500	UWOPS919171_01G00510	Y12_01G00480	YPS128_01G00500	YPS138_01G00510
18	18	1	CBS432_01G00510	DBVPG6044_01G00510	DBVPG6765_01G00520	N44_01G00520	S288c_01G00530	SK1_01G00540	Sbay_1.53	Seub_DI49_0047.t01	Skud_1.47	Port_1.52	Smik_1.53	Sarb_01G00450	UFRJ50816_01G00510	UWOPS034614_01G00510	UWOPS919171_01G00520	Y12_01G00490	YPS128_01G00510	YPS138_01G00520
18	18	1	CBS432_01G00530	DBVPG6044_01G00530	DBVPG6765_01G00540	N44_01G00540	S288c_01G00550	SK1_01G00560	Sbay_1.56	Seub_DI49_0048.t01	Skud_1.49	Port_1.54	Smik_1.55	Sarb_01G00470	UFRJ50816_01G00530	UWOPS034614_01G00530	UWOPS919171_01G00540	Y12_01G00510	YPS128_01G00530	YPS138_01G00540
18	18	1	CBS432_01G00540	DBVPG6044_01G00540	DBVPG6765_01G00550	N44_01G00550	S288c_01G00560	SK1_01G00570	Sbay_1.57	Seub_DI49_0049.t01	Skud_1.50	Port_1.55	Smik_1.56	Sarb_01G00480	UFRJ50816_01G00540	UWOPS034614_01G00540	UWOPS919171_01G00550	Y12_01G00520	YPS128_01G00540	YPS138_01G00550
18	18	1	CBS432_01G00550	DBVPG6044_01G00550	DBVPG6765_01G00560	N44_01G00560	S288c_01G00570	SK1_01G00580	Sbay_1.58	Seub_DI49_0050.t01	Skud_1.51	Port_1.56	Smik_1.57	Sarb_01G00490	UFRJ50816_01G00550	UWOPS034614_01G00550	UWOPS919171_01G00560	Y12_01G00530	YPS128_01G00550	YPS138_01G00560
18	18	1	CBS432_01G00560	DBVPG6044_01G00560	DBVPG6765_01G00570	N44_01G00570	S288c_01G00580	SK1_01G00590	Sbay_1.59	Seub_DI49_0051.t01	Skud_1.52	Port_1.57	Smik_1.58	Sarb_01G00500	UFRJ50816_01G00560	UWOPS034614_01G00560	UWOPS919171_01G00570	Y12_01G00540	YPS128_01G00560	YPS138_01G00570
18	18	1	CBS432_01G00570	DBVPG6044_01G00570	DBVPG6765_01G00580	N44_01G00580	S288c_01G00590	SK1_01G00600	Sbay_1.60	Seub_DI49_0052.t01	Skud_1.53	Port_1.58	Smik_1.59	Sarb_01G00510	UFRJ50816_01G00570	UWOPS034614_01G00570	UWOPS919171_01G00580	Y12_01G00550	YPS128_01G00570	YPS138_01G00580
18	18	1	CBS432_01G00580	DBVPG6044_01G00580	DBVPG6765_01G00590	N44_01G00590	S288c_01G00600	SK1_01G00610	Sbay_1.61	Seub_DI49_0053.t01	Skud_1.54	Port_1.59	Smik_1.60	Sarb_01G00520	UFRJ50816_01G00580	UWOPS034614_01G00580	UWOPS919171_01G00590	Y12_01G00560	YPS128_01G00580	YPS138_01G00590
18	18	1	CBS432_01G00090	DBVPG6044_01G00090	DBVPG6765_01G00100	N44_01G00100	S288c_01G00110	SK1_01G00120	Sbay_1.9	Seub_DI49_0006.t01	Skud_1.5	Port_1.6	Smik_1.8	Sarb_01G00050	UFRJ50816_01G00080	UWOPS034614_01G00090	UWOPS919171_01G00090	Y12_01G00070	YPS128_01G00090	YPS138_01G00100
18	18	1	CBS432_01G00600	DBVPG6044_01G00600	DBVPG6765_01G00610	N44_01G00610	S288c_01G00620	SK1_01G00630	Sbay_1.68	Seub_DI49_0056.t01	Skud_1.59	Port_1.62	Smik_1.65	Sarb_01G00540	UFRJ50816_01G00600	UWOPS034614_01G00600	UWOPS919171_01G00610	Y12_01G00580	YPS128_01G00600	YPS138_01G00610
18	18	1	CBS432_01G00610	DBVPG6044_01G00610	DBVPG6765_01G00620	N44_01G00620	S288c_01G00630	SK1_01G00640	Sbay_1.69	Seub_DI49_0057.t01	Skud_1.60	Port_1.63	Smik_1.66	Sarb_01G00550	UFRJ50816_01G00610	UWOPS034614_01G00610	UWOPS919171_01G00620	Y12_01G00590	YPS128_01G00610	YPS138_01G00620
18	18	1	CBS432_01G00630	DBVPG6044_01G00630	DBVPG6765_01G00640	N44_01G00640	S288c_01G00650	SK1_01G00660	Sbay_1.72	Seub_DI49_0059.t01	Skud_1.62	Port_1.65	Smik_1.68	Sarb_01G00580	UFRJ50816_01G00630	UWOPS034614_01G00630	UWOPS919171_01G00640	Y12_01G00610	YPS128_01G00630	YPS138_01G00640
18	18	1	CBS432_01G00640	DBVPG6044_01G00640	DBVPG6765_01G00650	N44_01G00650	S288c_01G00660	SK1_01G00670	Sbay_1.73	Seub_DI49_0060.t01	Skud_1.63	Port_1.66	Smik_1.69	Sarb_01G00590	UFRJ50816_01G00640	UWOPS034614_01G00640	UWOPS919171_01G00650	Y12_01G00620	YPS128_01G00640	YPS138_01G00650
18	18	1	CBS432_01G00650	DBVPG6044_01G00650	DBVPG6765_01G00660	N44_01G00660	S288c_01G00670	SK1_01G00680	Sbay_1.74	Seub_DI49_0061.t01	Skud_1.64	Port_1.67	Smik_1.70	Sarb_01G00600	UFRJ50816_01G00650	UWOPS034614_01G00650	UWOPS919171_01G00660	Y12_01G00630	YPS128_01G00650	YPS138_01G00660
18	18	1	CBS432_01G00660	DBVPG6044_01G00660	DBVPG6765_01G00670	N44_01G00670	S288c_01G00680	SK1_01G00690	Sbay_1.75	Seub_DI49_0062.t01	Skud_1.65	Port_1.68	Smik_1.71	Sarb_01G00610	UFRJ50816_01G00660	UWOPS034614_01G00660	UWOPS919171_01G00670	Y12_01G00640	YPS128_01G00660	YPS138_01G00670
18	18	1	CBS432_01G00670	DBVPG6044_01G00670	DBVPG6765_01G00680	N44_01G00680	S288c_01G00690	SK1_01G00700	Sbay_1.76	Seub_DI49_0063.t01	Skud_1.66	Port_1.69	Smik_1.72	Sarb_01G00620	UFRJ50816_01G00670	UWOPS034614_01G00670	UWOPS919171_01G00680	Y12_01G00650	YPS128_01G00670	YPS138_01G00680
18	18	1	CBS432_01G00100	DBVPG6044_01G00100	DBVPG6765_01G00110	N44_01G00110	S288c_01G00120	SK1_01G00130	Sbay_1.10	Seub_DI49_0007.t01	Skud_1.6	Port_1.7	Smik_1.9	Sarb_01G00060	UFRJ50816_01G00100	UWOPS034614_01G00100	UWOPS919171_01G00100	Y12_01G00080	YPS128_01G00100	YPS138_01G00110
18	18	1	CBS432_01G00680	DBVPG6044_01G00680	DBVPG6765_01G00690	N44_01G00690	S288c_01G00700	SK1_01G00710	Sbay_1.82	Seub_DI49_0068.t01	Skud_1.75	Port_1.74	Smik_1.76	Sarb_01G00630	UFRJ50816_01G00680	UWOPS034614_01G00680	UWOPS919171_01G00690	Y12_01G00660	YPS128_01G00680	YPS138_01G00690
18	18	1	CBS432_01G00690	DBVPG6044_01G00690	DBVPG6765_01G00700	N44_01G00700	S288c_01G00710	SK1_01G00720	Sbay_1.83	Seub_DI49_0069.t01	Skud_1.74	Port_1.75	Smik_1.77	Sarb_01G00640	UFRJ50816_01G00690	UWOPS034614_01G00690	UWOPS919171_01G00700	Y12_01G00670	YPS128_01G00690	YPS138_01G00700
18	18	1	CBS432_01G00700	DBVPG6044_01G00700	DBVPG6765_01G00710	N44_01G00710	S288c_01G00720	SK1_01G00730	Sbay_1.84	Seub_DI49_0070.t01	Skud_1.73	Port_1.76	Smik_1.78	Sarb_01G00650	UFRJ50816_01G00700	UWOPS034614_01G00700	UWOPS919171_01G00710	Y12_01G00680	YPS128_01G00700	YPS138_01G00710
18	18	1	CBS432_01G00710	DBVPG6044_01G00710	DBVPG6765_01G00720	N44_01G00720	S288c_01G00730	SK1_01G00740	Sbay_1.86	Seub_DI49_0071.t01	Skud_1.72	Port_1.77	Smik_1.79	Sarb_01G00660	UFRJ50816_01G00710	UWOPS034614_01G00710	UWOPS919171_01G00720	Y12_01G00690	YPS128_01G00710	YPS138_01G00720
18	18	1	CBS432_01G00110	DBVPG6044_01G00110	DBVPG6765_01G00120	N44_01G00120	S288c_01G00130	SK1_01G00140	Sbay_1.11	Seub_DI49_0008.t01	Skud_1.7	Port_1.8	Smik_1.10	Sarb_01G00070	UFRJ50816_01G00110	UWOPS034614_01G00110	UWOPS919171_01G00110	Y12_01G00090	YPS128_01G00110	YPS138_01G00120
18	18	1	CBS432_01G00780	DBVPG6044_01G00790	DBVPG6765_01G00800	N44_01G00820	S288c_01G00810	SK1_01G00820	Sbay_4.230	Seub_DI49_1036.t01	Skud_1.89	Port_1.85	Smik_1.106	Sarb_01G00670	UFRJ50816_01G00790	UWOPS034614_01G00780	UWOPS919171_01G00740	Y12_01G00720	YPS128_01G00810	YPS138_01G00810
18	18	1	CBS432_01G00790	DBVPG6044_01G00800	DBVPG6765_01G00810	N44_01G00830	S288c_01G00820	SK1_01G00830	Sbay_1.110	Seub_DI49_0076.t01	Skud_1.91	Port_1.86	Smik_1.107	Sarb_01G00680	UFRJ50816_01G00800	UWOPS034614_01G00790	UWOPS919171_01G00750	Y12_01G00730	YPS128_01G00820	YPS138_01G00820
18	18	1	CBS432_01G00120	DBVPG6044_01G00120	DBVPG6765_01G00130	N44_01G00130	S288c_01G00140	SK1_01G00150	Sbay_1.12	Seub_DI49_0009.t01	Skud_1.8	Port_1.9	Smik_1.11	Sarb_01G00080	UFRJ50816_01G00120	UWOPS034614_01G00120	UWOPS919171_01G00120	Y12_01G00100	YPS128_01G00120	YPS138_01G00130
18	18	0.81	CBS432_10G00920	DBVPG6044_10G00910	DBVPG6765_10G00960	N44_10G00880	S288c_10G00930	SK1_10G00940	Sbay_6.198	Seub_DI49_2902.t01	Skud_10.97	Port_10.100	Smik_10.116	Sarb_10G00860	UFRJ50816_10G00890	UWOPS034614_07G00920	UWOPS919171_10G00900	Y12_10G00940	YPS128_10G00920	YPS138_10G00880
18	18	0.81	CBS432_10G00930	DBVPG6044_10G00920	DBVPG6765_10G00970	N44_10G00890	S288c_10G00940	SK1_10G00950	Sbay_6.197	Seub_DI49_2903.t01	Skud_10.98	Port_10.102	Smik_10.117	Sarb_10G00870	UFRJ50816_10G00900	UWOPS034614_07G00930	UWOPS919171_10G00910	Y12_10G00950	YPS128_10G00930	YPS138_10G00890
18	18	0.81	CBS432_10G00940	DBVPG6044_10G00930	DBVPG6765_10G00980	N44_10G00900	S288c_10G00950	SK1_10G00960	Sbay_6.196	Seub_DI49_2904.t01	Skud_10.99	Port_10.103	Smik_10.118	Sarb_10G00880	UFRJ50816_10G00910	UWOPS034614_07G00940	UWOPS919171_10G00920	Y12_10G00960	YPS128_10G00940	YPS138_10G00900
18	18	0.81	CBS432_10G00950	DBVPG6044_10G00940	DBVPG6765_10G00990	N44_10G00910	S288c_10G00960	SK1_10G00970	Sbay_6.187	Seub_DI49_2908.t01	Skud_10.102	Port_10.106	Smik_10.126	Sarb_10G00890	UFRJ50816_10G00920	UWOPS034614_10G02700	UWOPS919171_10G00930	Y12_10G00970	YPS128_10G00950	YPS138_10G00910
18	18	0.81	CBS432_10G00960	DBVPG6044_10G00950	DBVPG6765_10G01000	N44_10G00920	S288c_10G00970	SK1_10G00980	Sbay_6.186	Seub_DI49_2909.t01	Skud_10.103	Port_10.107	Smik_10.127	Sarb_10G00900	UFRJ50816_10G00930	UWOPS034614_10G02710	UWOPS919171_10G00940	Y12_10G00980	YPS128_10G00960	YPS138_10G00920
18	18	0.81	CBS432_10G00970	DBVPG6044_10G00960	DBVPG6765_10G01010	N44_10G00930	S288c_10G00980	SK1_10G00990	Sbay_6.185	Seub_DI49_2910.t01	Skud_10.104	Port_10.108	Smik_10.128	Sarb_10G00910	UFRJ50816_10G00940	UWOPS034614_10G02720	UWOPS919171_10G00950	Y12_10G00990	YPS128_10G00970	YPS138_10G00930
18	18	0.81	CBS432_10G00980	DBVPG6044_10G00970	DBVPG6765_10G01020	N44_10G00940	S288c_10G00990	SK1_10G01000	Sbay_6.184	Seub_DI49_2911.t01	Skud_10.105	Port_10.109	Smik_10.129	Sarb_10G00920	UFRJ50816_10G00950	UWOPS034614_10G02730	UWOPS919171_10G00960	Y12_10G01000	YPS128_10G00980	YPS138_10G00940
18	18	0.81	CBS432_10G00170	DBVPG6044_10G00160	DBVPG6765_10G00210	N44_10G00140	S288c_10G00180	SK1_10G00190	Sbay_6.283	Seub_DI49_2829.t01	Skud_10.12	Port_10.11	Smik_10.28	Sarb_10G00100	UFRJ50816_10G00130	UWOPS034614_07G00170	UWOPS919171_10G00140	Y12_10G00190	YPS128_10G00170	YPS138_10G00130
18	18	0.81	CBS432_10G01000	DBVPG6044_10G00990	DBVPG6765_10G01040	N44_10G00960	S288c_10G01010	SK1_10G01020	Sbay_6.182	Seub_DI49_2913.t01	Skud_10.107	Port_10.111	Smik_10.132	Sarb_10G00940	UFRJ50816_10G00970	UWOPS034614_10G02750	UWOPS919171_10G00980	Y12_10G01020	YPS128_10G01000	YPS138_10G00960
